,0,1,2,3,4,5,6
359,Serenity,Support,MISSING,South Korea,Korea,KR,"['I Serenity I', '숲속의 작은 마녀']"
360,Spooky,Jungle,MISSING,Bulgaria,Europe,EUW,"['Whole Lot', 'Spookyyyy']"
361,Djoko,Jungle,25,France,Europe,EUW,"['SLY DJOKOZOR', 'SLY Djoko']"
362,Attila,ADC,26,Portugal,Europe,EUW,"['Atttila', 'Alfonso Campos', 'Tomer Kapon']"
363,Strompest,Mid,22,South Korea,North America,NA,"['Strompest', 'Strompest4']"
364,RotteBengi,Support,MISSING,Denmark,Europe,EUW,['ratBANGI']
365,Kackos,Top,MISSING,Poland,Europe,EUW,"['Kack0s', 'KCKS']"
366,Aodi,Top,21,China,China,KR,['Gon123']
367,Skream,ADC,MISSING,Tunisia,Europe,EUW,['160104']
368,Reheal,Support,23,China,China,MISSING,[]
369,Bluerzor,Jungle,22,Hungary,Europe,EUW,"['bluerzor', 'blrzr']"
370,Lonely,Top,21,South Korea,Korea,MISSING,[]
371,Khan,Top,26,South Korea,Korea,KR,"['elole', '개같이멸망할예정', '날뜩한 칼']"
372,Bini,ADC,20,South Korea,Korea,MISSING,[]
373,esA,Support,28,Japan,Brazil,BR,"['esA', 'sushi lover']"
374,Wao,Top,18,France,Europe,EUW,['WAO RANK 1']
375,Vetheo,Mid,19,France,Europe,EUW,"['LEC MIDKING', 'Vetheo1']"
376,Palafox,Mid,22,United States,North America,NA,['GURAA SHRIMP']
377,Smurf,Top,27,Russian Federation,Russia,EUW,['dn1she']
378,Poss,Top,23,South Korea,Korea,KR,['지옥 멍멍이']
379,Haru,Jungle,23,South Korea,Korea,MISSING,[]
380,Yursan,Support,20,Taiwan,PCS,NA,['TSM FTX Yursan']
381,Ben,Support,26,South Korea,Korea,MISSING,[]
382,Ceo,ADC,MISSING,Argentina,Liga Latinoamérica,NA,['R7 Slow']
383,Kikis,Jungle,26,Poland,Europe,EUW,"['Kikis', 'its ok no leash']"
384,Weiwei,Jungle,21,China,China,KR,['2639439711897152']
385,QiuQiu,Support,25,China,China,KR,['2639441479886176']
386,Chosen,Jungle,MISSING,Turkey,Turkey,EUW,['more than everr']
387,rat,ADC,MISSING,China,China,MISSING,[]
388,Tore,Support,MISSING,Norway,Europe,EUW,['Tore den store']
389,Myrwn,Top,18,Spain,Europe,EUW,"['EL ATRACADOR', 'amigasmachuki']"
390,Santorin,Jungle,24,Denmark,North America,NA,"['Santorin', 'TL Santorin']"
391,Ryan,Jungle,25,South Korea,Korea,KR,['리안 Ryan']
392,Chres,Mid,23,Denmark,Europe,EUW,"['Chres', 'QloTrGeSdV', 'prutter123']"
393,Huni,Top,24,South Korea,North America,KR,"['TSMFTX Heo', '뚱후니']"
394,Tolerant,Support,22,Germany,Turkey,EUW,['BADT']
395,geju,Jungle,MISSING,China,China,MISSING,[]
396,Bandao,Jungle,MISSING,China,China,MISSING,[]
397,Brolia,Support,24,Turkey,Turkey,EUW,['WLG Brolia']
398,Lot,Top,MISSING,Turkey,Turkey,EUW,['chenzelot']
399,Winner,Jungle,19,South Korea,Korea,MISSING,[]
400,Tomo,ADC,21,United States,North America,NA,['Tomo9']
401,Obsess,Jungle,24,Germany,Europe,EUW,"['EINS87 Obsess', 'ARR0GANZ', 'OΒSESS']"
402,Lucas,Support,MISSING,China,China,KR,['2639432417625152']
403,Zoom,Top,24,China,China,KR,['Zooorn']
404,Jisu,Top,25,South Korea,Korea,MISSING,[]
405,Lwx,ADC,23,China,China,KR,['2639431162594336']
406,Oscarinin,Top,18,Spain,Europe,EUW,['papi oski']
407,Breathe,Top,21,China,China,KR,"['cold skin', '2639445234058720']"
408,Lourlo,Top,24,United States,North America,NA,"['The Lo', 'year of lourlo']"
409,Ophelia,Mid,19,South Korea,Korea,KR,['pOnYtAiLmAN']
410,Eika,Mid,25,France,Europe,EUW,['LDLC Eika']
411,Yuekai,Mid,19,China,China,MISSING,[]
412,705,Top,19,China,China,KR,['qwedsazxcv']
413,JackeyLove,ADC,21,China,China,KR,['opasdwqexz']
414,xTyLk,Mid,23,Ukraine,Europe,EUW,"['Unιverse', 'xTyLk II', 'xTyLk III']"
415,players,MISSING,MISSING,MISSING,MISSING,MISSING,[]
416,Croco,Jungle,22,South Korea,Korea,KR,"['크로꼬', '모두다함께차차차', '악어크로코']"
417,Scorth,ADC,MISSING,Turkey,Turkey,EUW,"['222222w', 'qxa']"
418,New,Top,23,China,China,KR,"['2639438977082496', 'Vzk', 'zcqwdaqws']"
419,BAO,ADC,20,South Korea,Korea,KR,['bao9']
420,Robo,Top,23,Brazil,Brazil,BR,['ROBOCA DE SACOLA']
421,LoveLing,Jungle,28,China,China,KR,['존몬터규샌드위치']
422,5fire,Mid,22,United States,North America,NA,['5fire']
423,Dread,Jungle,21,South Korea,Korea,KR,['오리지널찰떡쿠키']
424,Ucal,Mid,21,South Korea,Korea,KR,"['UCAL', '이다중국인난']"
425,Manaty,Jungle,20,France,Europe,EUW,"['MANATY TRYHARD', 'MANATY TOP ACC', 'ManatyDiscipline', 'MANATY REFORMED', 'MANATY SUPP ACC']"
426,IgNar,Support,25,South Korea,Korea,KR,['IgNar']
427,Roulette,Jungle,21,Turkey,Turkey,EUW,['Roulette']
428,FeeNiixZ,Mid,22,Spain,Europe,EUW,"['Yυri Boyka', 'S12TALENTS12']"
429,Able,ADC,22,China,China,KR,"['happy game', 'blitzkrieg Bop']"
430,Pobelter,Mid,25,United States,North America,NA,"['Pobelter', 'Doinp', 'yuumi vessel']"
431,Canna,Top,22,South Korea,Korea,KR,['Canna00']
432,NuQ,Top,18,Turkey,Turkey,EUW,['Urumir Tempest']
433,Destroy,Top,21,South Korea,Korea,KR,['사 용 수']
434,Xero,None,33,South Korea,Korea,MISSING,[]
435,Rychly,Support,MISSING,Germany,Europe,EUW,['Rychly']
436,SoaR,Top,24,South Korea,Korea,MISSING,[]
437,BOSS,Top,MISSING,Russian Federation,Russia,EUW,['NUB0REZ']
438,Ice,ADC,20,South Korea,Korea,KR,['난화내']
439,Kruimel,Mid,26,Netherlands,Europe,EUW,['Amaretto Enjoyer']
440,Nasser,Jungle,MISSING,Lebanon,Europe,EUW,"['Nasser3', 'Schwarzzenegge']"
441,Tempt,Mid,23,South Korea,Korea,MISSING,[]
442,Oner,Jungle,19,South Korea,Korea,KR,"['Hang ln there', 'T1 Oner']"
443,Way,Support,19,South Korea,Korea,KR,['shenhuanaizheng']
444,Big,Support,MISSING,United States,North America,NA,['Bíg T']
445,Prince,ADC,21,South Korea,Korea,KR,"['수 피', '저까츠키']"
446,Dove,Top,23,South Korea,Korea,KR,['비둘기 도브']
447,Bugi,Jungle,MISSING,South Korea,Korea,KR,"['버기해적단 버기', '엽북이']"
448,Samux,ADC,MISSING,Spain,Europe,EUW,['xumäS']
449,Ale,Top,20,China,China,KR,['2639435175495584']
450,players,MISSING,MISSING,MISSING,MISSING,MISSING,[]
451,Sparz,Support,MISSING,Turkey,Turkey,EUW,['Liao Peng']
452,Neramin,ADC,MISSING,Turkey,Turkey,EUW,"['Neramin1', 'SMB Neramin', 'SMB Neramin12']"
453,Juhan,Jungle,20,South Korea,Korea,KR,['Juhana']
454,Aspect,Mid,MISSING,United States,North America,NA,['Aspect1']
455,Arrow,ADC,27,South Korea,Korea,NA,['arrowIoI']
456,MapSSi,Support,21,South Korea,Korea,KR,['자결검']
457,Duclou,Top,23,Brazil,Brazil,MISSING,[]
458,Garvey,Top,20,China,China,KR,['2639446383527456']
459,HongA,ADC,19,South Korea,Korea,MISSING,[]
460,Milica,Mid,MISSING,Serbia,Europe,EUW,"['Milica', 'Bone Apple Tea D']"
461,Peanut,Jungle,24,South Korea,Korea,KR,['XiaoHuaSheng7']
462,Crazy,Top,25,South Korea,Korea,EUW,['Sweet guy']
463,Meleks,Support,MISSING,Poland,Europe,EUW,"['Symeοn', 'Meleks']"
464,players,MISSING,MISSING,MISSING,MISSING,MISSING,[]
465,Ventair,Top,MISSING,Germany,Europe,EUW,"['Nierland', 'Ventair00', 'NEVRTHESAME']"
466,reM,Mid,MISSING,South Korea,Korea,MISSING,[]
467,Hoit,Support,22,South Korea,Korea,KR,['호잇이']
468,iBoy,ADC,21,China,China,KR,['2639444506813888']
469,Destiny-KR,Support,MISSING,South Korea,Korea,KR,"['Destiny', 'Deti']"
470,SUP-2,Support,19,South Korea,Korea,KR,['전서방 닭갈비']
471,Diamond,Support,26,Canada,North America,NA,['FLY Diamond']
472,Naehyun,Mid,26,South Korea,Korea,KR,['변함없는중국인들']
473,Wings,ADC,20,China,China,MISSING,[]
474,Aiming,ADC,21,South Korea,Korea,KR,"['강미나', '아이린']"
475,Magic,Jungle,25,China,China,MISSING,[]
476,ZaZee,Mid,22,Germany,Europe,EUW,['ZaZee']
477,Hoon,Top,22,South Korea,Korea,MISSING,[]
478,DuDu,Top,21,South Korea,Korea,KR,['따봉 람머스']
479,players,MISSING,MISSING,MISSING,MISSING,MISSING,[]
480,Mitsuki,Support,22,China,China,KR,"['자신감의보조', 'Noonk1ss']"
481,xiaohao,Jungle,19,China,China,KR,['xiaoohao']
482,Wayward,Top,20,China,China,KR,['cainiao2hao']
483,Roach,Top,23,South Korea,Korea,KR,"['T1 Roach', 'Roach']"
484,CoreJJ,Support,27,South Korea,Korea,NA,"['From Iron', '오또마1', 'Mr Winter']"
485,Cruiser,Mid,18,South Korea,Korea,KR,['Crulser']
486,Kingen,Top,22,South Korea,Korea,KR,['Kingen']
487,VicLa,Mid,18,South Korea,Korea,KR,['KT VicLa']
488,Niles,Top,22,United States,North America,NA,"['IVE PAID MY DUES', 'Niles']"
489,Yeon,ADC,MISSING,United States,North America,NA,['TL Yeon']
490,Nyx,Jungle,19,South Korea,Korea,KR,['nyxxynxyn']
491,Rainbow,Mid,MISSING,South Korea,Korea,KR,['SugiKim']
492,Hanabi,Top,21,Taiwan,PCS,KR,"['2654327940720064', 'NaruseSh1roha']"
493,Winsome,Support,19,United States,North America,KR,"['C9 Wins0me', 'C9 Winsome']"
494,badboy,Mid,MISSING,China,China,MISSING,[]
495,Gango,ADC,24,South Korea,Korea,KR,['해강고 원딜']
496,Karas,Support,21,South Korea,Korea,MISSING,[]
497,Sniper,Top,15,Canada,North America,NA,"['100 Sniper', 'Sn1per1']"
498,Vsta,Support,21,South Korea,Korea,KR,"['Vsta1', '비이스타']"
499,Howling,Top,18,South Korea,Korea,KR,['무쇠목숨']
500,Kazu,Support,27,France,Japan,JP,['かずーた']
501,Loopy,Mid,17,South Korea,Korea,KR,['BRO Loopy']
502,Qingtian,Top,19,China,China,KR,"['41515151515', 'Turned to leave']"
503,Pyosik,Jungle,MISSING,South Korea,Korea,KR,['DRX 홍창현']
504,Ten10,Mid,MISSING,South Korea,Korea,KR,"['난화내1', 'SANDBOX Ten10']"
505,TheShy,Top,MISSING,South Korea,Korea,KR,"['The shy', '의문의중국탑고수']"
506,Thal,Top,23,South Korea,Korea,KR,['Yorick']
507,Shenyi,Support,19,China,China,KR,"['da ming feng hua', 'sakuradog', 'btfbt']"
508,Lure,ADC,18,South Korea,Korea,KR,['HLE Lure']
509,Beishang,Jungle,21,China,China,KR,['2639445341210048']
510,Rate,ADC,MISSING,Turkey,Turkey,MISSING,[]
511,Cassin,Jungle,22,South Korea,Korea,KR,['내나이가어때서어']
512,Shadow-KR,Jungle,20,South Korea,Korea,MISSING,[]
513,Pleata,Support,19,South Korea,Korea,KR,['superrookiee']
514,Snow,ADC,23,China,China,KR,['whisper snow']
515,Hena,ADC,22,South Korea,Korea,KR,['BRO Hena']
516,Bay,Mid,MISSING,South Korea,Korea,KR,"['쭌 베', '빅토드 아지드']"
517,Mystiques,Support,25,Poland,Europe,EUW,['SK Mystiques']
518,Steal,Jungle,23,South Korea,Japan,KR,['L1sure']
519,Winston,Jungle,MISSING,Canada,North America,NA,"['winstxn', 'Wentworth Miller']"
520,Honey,ADC,MISSING,South Korea,Korea,KR,['카와이히토가스키']
521,Yoshino,Top,21,Vietnam,Vietnam,MISSING,[]
522,Phenomenal,Top,MISSING,Turkey,Turkey,MISSING,[]
523,Flora,Jungle,MISSING,China,China,KR,['물방울석입']
524,Junmin,ADC,18,South Korea,Korea,KR,['FA Muru']
525,Newbie,Support,25,Argentina,North America,NA,['karvy']
526,Kanavi,Jungle,21,South Korea,Korea,KR,"['crlqrn', 'Yunqi']"
527,Ella,None,MISSING,South Korea,Korea,KR,['FA Coach Ella']
528,Ira,Top,18,South Korea,Korea,KR,['지으자닉네임']
529,BAekHO,ADC,20,South Korea,Korea,KR,['은아 예쁘다']
530,xiaolaohu,Top,19,China,China,KR,['무무공주님']
531,Lindarang,Top,24,South Korea,Korea,KR,['간다라쿤다']
532,Zhuo,Support,21,China,China,KR,['COCG']
533,Burry,Jungle,20,South Korea,Korea,KR,['언제나잘하고싶은']
534,TolanD,Mid,20,South Korea,Korea,KR,['ToIanD']
535,Coten,Top,MISSING,China,China,KR,['blwy3']
536,SnowFlower,Support,25,South Korea,Korea,KR,['SnowFlow2r']
537,Keshi,Support,20,South Korea,Korea,KR,['희포리']
538,Flawless,Jungle,23,South Korea,Korea,KR,['BC FlawlesS']
539,Cheoni,ADC,21,South Korea,Korea,KR,['HLE Cheoni']
540,Ellim,Jungle,21,South Korea,Korea,KR,"['호우시우보', '엘 림']"
541,Moo,ADC,20,South Korea,Korea,KR,"['Moo1', 'Moolol']"
542,Xiamu,Support,MISSING,China,China,KR,['emo xia0zi']
543,Ggul,Top,21,South Korea,Korea,KR,"['zzk1', 'jljljk']"
544,Sw0rd,Top,24,South Korea,Korea,KR,['이도류']
545,Riss,Top,20,South Korea,Korea,KR,['Riss1']
546,Effort,Support,21,South Korea,Korea,KR,['레전드오브롤1244']
547,Zenit,ADC,21,South Korea,Korea,KR,"['칼날턱무리', '모노 슈리마']"
548,Fiesta,Mid,18,South Korea,Korea,KR,['엣프피에스타']
549,Valkyrie,ADC,21,South Korea,Korea,KR,['qkfzlfl']
550,Dice,Mid,MISSING,South Korea,Korea,KR,['사커킥니킥엘보']
551,Lava,Mid,22,South Korea,Korea,KR,"['lavazz', 'BRO Lava']"
552,F0rest,Jungle,20,South Korea,Korea,KR,['4x4 JGL']
553,Kuri,Support,MISSING,South Korea,Korea,KR,['쿠 리']
554,Justice,Mid,24,South Korea,Korea,KR,['부지런한 석준씨']
555,players,MISSING,MISSING,MISSING,MISSING,MISSING,[]
556,Wiz,Jungle,23,South Korea,Korea,MISSING,[]
557,Jelly,Support,MISSING,South Korea,Korea,MISSING,[]
558,Gaeng,Support,27,South Korea,Korea,KR,['GAENG 96']
559,Scout,Mid,24,South Korea,China,KR,['미북이']
560,Rahel,ADC,18,South Korea,Korea,KR,['DK Rahel']
561,Cabochard,Top,24,France,Europe,EUW,"['KC Gaulois', 'ProvencalGaulois']"
562,Japone,Support,MISSING,Turkey,Turkey,EUW,"['japonee', 'InsaneMentality']"
563,Luger,ADC,20,Turkey,Turkey,NA,"['CLG Luger', 'Kral Luger']"
564,players,MISSING,MISSING,MISSING,MISSING,MISSING,[]
565,Rames,Jungle,MISSING,Turkey,Turkey,EUW,"['Rames1', 'cuzz fanx']"
566,Aegis,Jungle,22,Brazil,Brazil,BR,['Aegis']
567,Baolan,Support,MISSING,China,China,KR,['2639431993214048']
568,Rhilech,Jungle,MISSING,Turkey,Turkey,EUW,['RhiIech']
569,Sleeping,Top,25,Finland,Europe,EUW,"['sleepking', 'finding purpose', 'PantsGrab']"
570,Efias,Support,23,Ukraine,Europe,EUW,"['stray cat1', 'stray cat2']"
571,Xiaofang,Jungle,MISSING,China,China,MISSING,[]
572,Larssen,Mid,22,Sweden,Europe,EUW,['RGE Larssεn']
573,Stefan,Jungle,MISSING,Serbia,Europe,EUW,"['pure νessel', 'K1 Stefan', 'voodoo curse acc', 'calm thinking']"
574,Bravado,Support,20,Sweden,Europe,EUW,"['DEM0N 1N MY H3AD', 'KINGDOMEOFONE']"
575,players,MISSING,MISSING,MISSING,MISSING,MISSING,[]
576,Broxah,Jungle,24,Denmark,Europe,EUW,"['Curling Captain', 'Broxah']"
577,Alu,Support,MISSING,China,China,KR,['청개구리싸이']
578,GorillA,Support,27,South Korea,Korea,KR,['강꼬릴']
579,Hatrixx,Mid,24,Norway,Europe,EUW,"['Hatrixx', 'J0rge el grande']"
580,Matsukaze,ADC,MISSING,Brazil,Brazil,BR,['mtskz']
581,EliWood,Support,23,Russian Federation,Turkey,EUW,"['TEST ACC 123321', 'θΘθΘθ', 'ElîWood']"
582,Farfetch,Support,23,Turkey,Turkey,EUW,"['Caster minion31', 'Farrak']"
583,Dan,Jungle,MISSING,United Kingdom,Europe,EUW,"['4114', 'XL Dan', 'Danyon', 'Objective Bounty']"
584,Nukeduck,Mid,25,Norway,Europe,EUW,['nukëduck']
585,Unified,ADC,22,Hong Kong,PCS,MISSING,[]
586,Sora,Support,24,China,China,MISSING,[]
587,Mytant,ADC,MISSING,Ukraine,Russia,EUW,['Mytant UA']
588,Elk,ADC,20,China,China,KR,['2639445125113408']
589,Ssumday,Top,25,South Korea,North America,NA,['Ssumdayday']
590,Absolute,Support,MISSING,Turkey,Turkey,EUW,['absolute13h']
591,Howl,Mid,MISSING,Turkey,Turkey,EUW,['IDRNKURMILKSHAKE']
592,MnM,ADC,MISSING,Hong Kong,PCS,MISSING,[]
593,Drop,ADC,22,Brazil,Brazil,BR,['monk mode']
594,Wizer,Top,23,South Korea,Korea,MISSING,[]
595,Simple,Jungle,MISSING,China,China,MISSING,[]
596,Roi,Mid,MISSING,South Korea,Korea,MISSING,[]
597,Cinkrof,Jungle,24,Poland,Europe,EUW,['BDS MAMMON']
598,jiang,ADC,21,China,China,MISSING,[]
599,Pbd,Support,MISSING,Turkey,Turkey,EUW,['DP Pbd']
600,Nako,ADC,MISSING,Turkey,Turkey,EUW,['YEP PAKO']
601,Jjun,Jungle,MISSING,South Korea,Korea,MISSING,[]
602,Bruce,ADC,MISSING,Taiwan,PCS,MISSING,[]
603,Doxy,Top,24,Denmark,Europe,EUW,['X9 IGNITE TOPS']
604,Enso,Support,20,Taiwan,PCS,MISSING,[]
605,dyNquedo,Mid,24,Brazil,Brazil,BR,['paiN dyNKas']
606,hachamecha,Jungle,29,Japan,Japan,KR,['95331568del']
607,Keysie,Mid,MISSING,Russian Federation,Russia,EUW,"['CRY Keysie', 'NikitaPopOFF']"
608,Carry,Support,MISSING,Turkey,Turkey,EUW,['KIoen']
609,Kiaya,Mid,20,Vietnam,Vietnam,MISSING,[]
610,Amazing,None,28,Germany,North America,EUW,['KobeeeeBryant']
611,Malice,Jungle,25,Sweden,Europe,KR,"['Hazal Naz Edholm', '2858935330227584']"
612,Yutorimoyashi,ADC,27,Japan,Japan,MISSING,[]
613,Rylle,Mid,MISSING,Denmark,Europe,EUW,"['CHi3F KEEF', 'K3UPA88ZR4W1LQV']"
614,Chibs,Mid,MISSING,United Kingdom,Europe,EUW,['chíbs']
615,players,MISSING,MISSING,MISSING,MISSING,MISSING,[]
616,Wunder,Top,23,Denmark,Europe,EUW,"['jgsolostart', 'Doublebeef']"
617,Impact,Top,27,South Korea,North America,NA,['EG Impact']
618,Jackairay,Jungle,22,China,China,MISSING,[]
619,Crownshot,ADC,23,Slovenia,Europe,EUW,['pink sun']
620,takeshi,Mid,28,Brazil,Brazil,BR,"['takeshi', 'tasheshi']"
621,CblpHuK,Support,28,Russian Federation,Russia,EUW,['Unstoppable Bot']
622,Mia,Support,23,South Korea,Korea,KR,"['mla3', 'Mla3', 'nnla']"
623,Wendelbo,Support,23,Denmark,Europe,EUW,['Redbull kriger']
624,Beenie,ADC,MISSING,Brazil,Brazil,EUW,['LITTLE HAIR']
625,Robin,Jungle,MISSING,Turkey,Turkey,EUW,['RobinV2testacc']
626,Ben4,Jungle,24,China,China,MISSING,[]
627,Hyper,Jungle,21,United States,North America,NA,['TSM FTX Hyper25K']
628,Xiaohan,Jungle,22,China,China,MISSING,[]
629,xiye,Mid,MISSING,China,China,KR,['2639437076539296']
630,chopstick,Top,17,South Korea,Korea,KR,['어쩌겐냐']
631,Sinmivak,Top,21,Poland,Europe,EUW,"['snmvk', 'polski herkules']"
632,Dardoch,None,23,United States,North America,NA,"['TwTv BmxSpecks', 'couch dd', 'fill acc', 'lIlIlIlIlIllII']"
633,Raven,Top,MISSING,Poland,Europe,EUW,"['Iove jayce', 'Kirillka123']"
634,Hauntzer,Top,26,United States,North America,NA,"['Supersonics1', 'Takuan1', 'ice']"
635,Listo,Jungle,17,South Korea,Korea,KR,['Listo']
636,Fudge,Mid,MISSING,Australia,North America,NA,['such nice combo']
637,Koala,Support,26,Taiwan,PCS,MISSING,[]
638,Teddy,ADC,24,South Korea,Korea,KR,['눈물나게따스해']
639,Uzi,ADC,24,China,China,KR,"['2639449544295712', 'imimignitgnit']"
640,Algos,Support,MISSING,Turkey,Turkey,EUW,"['S4NSARSALVO', 'IlIlIIIIIIl']"
641,LukaLux,Top,18,South Korea,Korea,KR,['HLE Lukalux']
642,Kreox,Jungle,MISSING,Russian Federation,Russia,EUW,['Kreox1']
643,Moojin,Jungle,23,South Korea,Korea,KR,"['MooJin777', '머쓱환에요', '하리보 다 내꺼야']"
644,Natalie,Jungle,MISSING,South Korea,Korea,KR,"['포식자', 'VERMILI0']"
645,Kiin,Top,22,South Korea,Korea,KR,"['오뚜기3분미트볼', 'qpalzmwoaj']"
646,Bvoy,ADC,24,South Korea,Korea,NA,['bvoy3']
647,Nuclear,None,24,South Korea,Korea,KR,"['어쩔 수확의낫', 'zl존건슬S2']"
648,Kituruken,Jungle,MISSING,Turkey,Turkey,EUW,"['PCS Limonade', 'àlea iacta est']"
649,Cruel,Support,MISSING,China,China,MISSING,[]
650,Fahai,Support,MISSING,China,China,KR,['adsadsadsasd']
651,KTSR,Top,MISSING,Turkey,Turkey,EUW,"['PAKO IS GM PEAK', 'strongsideKTSR']"
652,Nugget,Support,24,South Korea,Korea,KR,['sjrpt']
653,Dalka,None,24,South Korea,Korea,KR,"['달인 카직스', 'AklaD']"
654,Tenacity,Top,19,Canada,North America,NA,"['Tenacity', '100 Tenacity']"
655,Cover,Mid,22,South Korea,Korea,KR,['네온사인 달튜브']
656,LvMao,Support,26,China,China,KR,"['화내 지 마12', '2639436761458240']"
657,MaHa,None,26,South Korea,Korea,MISSING,[]
658,GuGer,Support,28,South Korea,Korea,KR,['구자룡']
659,loulex,Jungle,MISSING,France,Europe,EUW,['Francis Ngannou']
660,Tholem,Top,MISSING,Turkey,Turkey,EUW,['Tholem Baggins']
661,Yaharong,Mid,21,South Korea,Korea,KR,"['엠에프둠', 'XXXTENTACION']"
662,Brucer,Mid,MISSING,Brazil,Brazil,BR,"['Brucer', 'HawaianoéBruto']"
663,Memento,Jungle,26,Sweden,Europe,EUW,"['30x', 'ITS MEMENTO']"
664,Ning,Jungle,MISSING,China,China,MISSING,[]
665,Chance,Support,MISSING,China,China,KR,['xiaguang']
666,V1per,Top,24,Syrian Arab Republic,North America,NA,"['say it over', 'Splitting', 'Giyu Tomiokaa', 'notscaredtolose']"
667,Rave,ADC,16,South Korea,Korea,KR,['LSB Rave']
668,Kuro,Mid,28,South Korea,Korea,KR,['쿠 로']
669,SimSin,Support,MISSING,Russian Federation,Russia,EUW,['EBLANOID 40kg']
670,Akabane,Jungle,21,France,Europe,EUW,"['Akabane13', 'BIG Akabane']"
671,Killua,Support,25,China,China,KR,['da gong ren1']
672,Andariel,ADC,MISSING,Turkey,Turkey,EUW,['5R AndarieI']
673,FoFo,Mid,23,Taiwan,PCS,KR,['2639444400252096']
674,Kold,Coach,MISSING,Denmark,Europe,EUW,['Koold']
675,Smlz,ADC,24,China,China,MISSING,[]
676,ToongE,ADC,17,South Korea,Korea,KR,['포퉁이']
677,yoHan,Jungle,22,South Korea,Korea,KR,['15gggggggggg']
678,Dioud,Support,31,France,Europe,BR,"['Trashbag Dioud', 'VITALITY Dioud']"
679,SS,ADC,24,South Korea,Korea,KR,['krats aira']
680,Euro,Jungle,20,South Korea,Korea,KR,"['FA Euro', 'Yurooo']"
681,Light,ADC,21,China,China,KR,['2639437399000640']
682,Zherathor,Mid,MISSING,Spain,Europe,EUW,['Zherathor']
683,Untara,Top,25,South Korea,Korea,KR,"['07년생 티모장인', 'Untara']"
684,rjs,Mid,MISSING,Canada,North America,NA,['rjsdndgod']
685,Edger,Top,24,Brazil,Brazil,BR,['19021999Q']
686,Shark,ADC,21,South Korea,Korea,KR,['fdadffdfa']
687,Boly,Support,21,Spain,Europe,EUW,"['AYM Bolyy1', 'Lee Sang ho']"
688,Bjergsen,Mid,26,Denmark,North America,NA,['TL Bjergsen']
689,Once,Jungle,23,South Korea,Korea,KR,['턴생각평정심유지']
690,Thanatos,Top,17,South Korea,Korea,MISSING,[]
691,Ghost,ADC,23,South Korea,Korea,KR,"['DWG Ghost', '농고 심스트']"
692,DooTi,ADC,MISSING,South Korea,Korea,KR,['LSB DooTi']
693,Shanks,Mid,MISSING,China,China,MISSING,[]
694,FatihCan,ADC,MISSING,Turkey,Turkey,EUW,['Fatihcan']
695,JeongHoon,Support,22,South Korea,Korea,KR,['갤러리 정']
696,Four,Jungle,24,Bulgaria,Europe,MISSING,[]
697,Blessing,Support,18,South Korea,Korea,KR,['농심 블레싱']
698,Melonik,Top,19,Poland,Europe,EUW,"['Melonik', 'G2 bezum']"
699,Ming9,Top,18,South Korea,Korea,KR,['Shadow Ming9']
700,Riris,Top,MISSING,South Korea,Korea,KR,"['Riris1', '대충대충설렁설렁', 'BLACK VENOM']"
701,Witless,ADC,MISSING,Turkey,Turkey,EUW,['Turkish Rekkles']
702,Teroor,ADC,MISSING,Russian Federation,Russia,MISSING,[]
703,Maximillion,Mid,MISSING,Turkey,Turkey,MISSING,[]
704,twohoyrz,Mid,MISSING,Bulgaria,Europe,EUW,"['am2pm', 'Barolo Rampante', 'baliii']"
705,Maestro,Support,23,China,China,MISSING,[]
706,Neat,Jungle,MISSING,South Korea,Korea,MISSING,[]
707,frigid,Jungle,MISSING,China,China,KR,['friigid']
708,SeongHwan,Jungle,24,South Korea,Korea,KR,['SeongHw4n']
709,Peace,Support,MISSING,China,China,MISSING,[]
710,LIDER,Mid,22,Norway,Europe,EUW,"['LlDER', 'Τreasure Hunter', 'nοte', 'etο', 'Ιiege']"
711,Lele,Support,21,China,China,MISSING,[]
712,Rhuckz,Support,MISSING,Portugal,Europe,EUW,['rhúckz']
713,Taewang,Mid,MISSING,Germany,Europe,EUW,['Taewang']
714,Corporal,Support,20,Japan,Japan,MISSING,[]
715,Mewkyo,Jungle,MISSING,Brazil,Brazil,MISSING,[]
716,Kaiser,Support,23,Germany,Europe,EUW,"['zta', 'wombatcombat1', 'MAD Kaîser']"
717,Teacherma,Mid,22,China,China,MISSING,[]
718,Tank,Mid,26,South Korea,Korea,KR,"['Mei Tian Kun', 'Luo Ya Xuan']"
719,Merit,ADC,19,South Korea,Korea,KR,['qawezxcv']
720,MyKey,ADC,20,Spain,Europe,EUW,['Mykeý']
721,Garden,ADC,23,South Korea,Korea,MISSING,[]
722,Decky,Top,19,South Korea,Korea,KR,['FA Decky']
723,AK,Top,MISSING,China,China,MISSING,[]
724,KaKAO,Jungle,26,South Korea,Korea,KR,['병권좌']
725,Bluff,Jungle,MISSING,South Korea,Korea,KR,['블러푸']
726,Unho1y,ADC,27,Ukraine,Russia,EUW,"['doggopacotaco', 'ti kotik']"
727,Libra,Top,MISSING,Turkey,Turkey,EUW,"['Libra 1v1', 'Libra is Back']"
728,Ziv,Top,MISSING,Taiwan,PCS,MISSING,[]
729,FLahm,Support,MISSING,South Korea,Korea,KR,['IIIIIllllIIIlll']
730,Skewer,Top,20,Turkey,Turkey,EUW,['SKEWER IS BACK']
